date,open,close,ma5,ma10,ma5_up_10,ma5_down_10,ma5_up_10_earning,ma5_down_10_earning
2015-04-21,8224.546,8532.519,8395.846,8458.508,,True,0.0,-1854.733
2015-04-20,8407.76,8214.044,8421.975,8464.883,,,0.0,0.0
2015-04-17,8497.279,8442.205,8522.189,8491.092,,,0.0,0.0
2015-04-16,8237.77,8450.194,8537.585,8485.29,,,0.0,0.0
2015-04-15,8630.88,8340.269,8503.595,8463.584,,,0.0,0.0
2015-04-14,8728.745,8663.161,8521.169,8430.144,,,0.0,0.0
2015-04-13,8573.512,8715.115,8507.791,8358.339,,,0.0,0.0
2015-04-10,8254.973,8519.187,8459.995,8274.579,,,0.0,0.0
2015-04-09,8421.99,8280.244,8432.994,8197.546,,,0.0,0.0
2015-04-08,8626.461,8428.139,8423.573,8159.572,,,0.0,0.0
2015-04-07,8511.494,8596.269,8339.118,8093.347,,,0.0,0.0
2015-04-03,8337.205,8476.135,8208.888,8000.842,,,0.0,0.0
2015-04-02,8304.579,8384.183,8089.162,7895.609,,,0.0,0.0
2015-04-01,8026.955,8233.141,7962.098,7794.54,,,0.0,0.0
2015-03-31,7957.296,8005.861,7895.57,7707.115,,,0.0,0.0
2015-03-30,7895.353,7945.118,7847.576,7628.642,,,0.0,0.0
2015-03-27,7758.586,7877.509,7792.797,7553.451,,,0.0,0.0
2015-03-26,7866.356,7748.862,7702.056,7458.904,,,0.0,0.0
2015-03-25,7765.801,7900.502,7626.982,7367.049,,,0.0,0.0
2015-03-24,7696.392,7765.888,7518.659,7261.192,,,0.0,0.0
2015-03-23,7471.735,7671.223,7409.708,7171.7,,,0.0,0.0
2015-03-20,7362.028,7423.805,7314.105,7078.268,,,0.0,0.0
2015-03-19,7364.668,7373.492,7215.753,6999.977,,,0.0,0.0
2015-03-18,7214.922,7358.887,7107.117,6942.853,,,0.0,0.0
2015-03-17,7228.159,7221.133,7003.724,6883.437,,,0.0,0.0
2015-03-16,6991.544,7193.21,6933.691,6825.825,,,0.0,0.0
2015-03-13,6866.231,6932.042,6842.431,6780.368,,,0.0,0.0
2015-03-12,6883.129,6830.313,6784.201,6750.227,,,0.0,0.0
2015-03-11,6878.426,6841.922,6778.589,6724.07,,,0.0,0.0
2015-03-10,6747.905,6870.968,6763.149,6691.485,,,0.0,0.0
2015-03-09,6610.113,6736.91,6717.959,6666.97,,,0.0,0.0
2015-03-06,6824.589,6640.891,6718.306,6650.086,,,0.0,0.0
2015-03-05,6773.856,6802.252,6716.254,6640.645,,,0.0,0.0
2015-03-04,6649.488,6764.725,6669.55,6596.316,,,0.0,0.0
2015-03-03,6689.223,6645.018,6619.82,6545.797,,,0.0,0.0
2015-03-02,6671.393,6738.643,6615.981,6503.789,,,0.0,0.0
2015-02-27,6567.702,6630.63,6581.866,6444.092,,,0.0,0.0
2015-02-26,6513.021,6568.736,6565.036,6380.526,,,0.0,0.0
2015-02-25,6596.87,6516.074,6523.081,6326.186,,,0.0,0.0
