date,close,ma5,ma10,ma20,gt_ma,earning,earning2
2015-03-25,30.7,28.938,27.923,26.178,True,1.74,0.0
2015-03-24,29.38,28.174,27.397,25.831,True,1.27,0.0
2015-03-23,29.8,27.68,26.993,25.576,True,0.02,0.0
2015-03-20,27.3,27.186,26.398,25.295,True,2.69,0.0
2015-03-19,27.51,27.118,26.07,25.115,True,2.48,0.0
2015-03-18,26.88,26.908,25.819,24.92,False,0.0,3.82
2015-03-17,26.91,26.62,25.601,24.678,True,2.47,0.0
2015-03-16,27.33,26.306,25.309,24.458,True,2.47,0.0
2015-03-13,26.96,25.61,24.957,24.221,True,0.34,0.0
2015-03-12,26.46,25.022,24.66,24.005,True,1.05,0.0
2015-03-11,25.44,24.73,24.432,23.811,True,1.44,0.0
2015-03-10,25.34,24.582,24.265,23.651,True,1.57,0.0
2015-03-09,23.85,24.312,24.159,23.488,False,0.0,3.48
2015-03-06,24.02,24.304,24.192,23.387,False,0.0,2.94
2015-03-05,25.0,24.298,24.16,23.204,True,1.46,0.0
2015-03-04,24.7,24.134,24.02,22.955,True,0.74,0.0
2015-03-03,23.99,23.948,23.755,22.721,True,1.35,0.0
2015-03-02,23.81,24.006,23.606,22.535,False,0.0,0.04
2015-02-27,23.99,24.08,23.485,22.34,False,0.0,0.03
2015-02-26,24.18,24.022,23.35,22.13,True,0.82,0.0
2015-02-25,23.77,23.906,23.189,21.894,False,0.0,0.93
2015-02-24,24.28,23.562,23.037,21.669,True,-0.29,0.0
2015-02-17,24.18,23.206,22.817,21.418,True,-0.37,0.0
2015-02-16,23.7,22.89,22.581,21.164,True,0.29,0.0
2015-02-13,23.6,22.678,22.248,20.911,True,0.58,0.0
2015-02-12,22.05,22.472,21.89,20.672,False,0.0,1.72
2015-02-11,22.5,22.512,21.686,20.506,False,0.0,1.78
2015-02-10,22.6,22.428,21.463,20.318,True,1.58,0.0
2015-02-09,22.64,22.272,21.194,20.133,True,1.06,0.0
2015-02-06,22.57,21.818,20.91,19.91,True,1.03,0.0
2015-02-05,22.25,21.308,20.598,19.703,True,-0.2,0.0
2015-02-04,22.08,20.86,20.301,19.52,True,0.42,0.0
2015-02-03,21.82,20.498,20.018,19.343,True,0.78,0.0
2015-02-02,20.37,20.116,19.747,19.173,True,2.27,0.0
2015-01-30,20.02,20.002,19.573,19.059,True,2.55,0.0
2015-01-29,20.01,19.888,19.454,18.927,True,2.24,0.0
2015-01-28,20.27,19.742,19.326,18.789,True,1.81,0.0
2015-01-27,19.91,19.538,19.172,18.64,True,1.91,0.0
2015-01-26,19.8,19.378,19.071,18.534,True,0.57,0.0
